info: Server is running on port 2000 || timestamp: 04-02-2024 11:36:8 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:36:8 PM 
info: api hit || timestamp: 04-02-2024 11:36:16 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:36:16 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:36:44 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:36:44 PM 
info: api hit || timestamp: 04-02-2024 11:36:47 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:36:47 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:39:1 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:39:1 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:39:26 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:39:26 PM 
info: api hit || timestamp: 04-02-2024 11:39:31 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:39:31 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:39:48 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:39:48 PM 
info: api hit || timestamp: 04-02-2024 11:39:53 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:39:53 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:40:4 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:40:4 PM 
info: api hit || timestamp: 04-02-2024 11:40:8 PM 
error: postData is not defined || timestamp: 04-02-2024 11:40:8 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:40:59 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:40:59 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:41:11 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:41:11 PM 
info: api hit || timestamp: 04-02-2024 11:41:15 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:42:15 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:42:15 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:42:26 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:42:26 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:42:55 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:42:55 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:43:50 PM 
